epoch,out_0,out_1,step,train_loss
0,-0.4339875280857086,-0.1302776038646698,1,1.2775275707244873
1,0.17581549286842346,0.3234427571296692,3,0.457729697227478
2,0.5981346964836121,0.6427353620529175,5,0.12763802707195282
3,0.7562806010246277,0.7118239402770996,7,0.08304543793201447
4,0.7197227478027344,0.6444643139839172,9,0.12640562653541565
5,0.6209073662757874,0.549913763999939,11,0.2025776207447052
6,0.5266427397727966,0.47156938910484314,13,0.27923887968063354
7,0.4588703215122223,0.4211868643760681,15,0.3350246548652649
8,0.4210227429866791,0.3985969126224518,17,0.36168572306632996
9,0.4097571074962616,0.39921778440475464,19,0.36093926429748535
10,0.4191851019859314,0.4167634844779968,21,0.34016484022140503
11,0.44243761897087097,0.4443373382091522,23,0.30876097083091736
12,0.47242993116378784,0.4751266837120056,25,0.27549201250076294
13,0.5025426745414734,0.503128170967102,27,0.2468816190958023
14,0.527387261390686,0.5238998532295227,29,0.22667135298252106
15,0.5434905886650085,0.535102128982544,31,0.21613003313541412
16,0.5496298670768738,0.5365999341011047,33,0.2147396206855774
17,0.5466691851615906,0.5300809144973755,35,0.22082394361495972
18,0.536975622177124,0.5183495283126831,37,0.23198717832565308
19,0.5236356258392334,0.5045419335365295,39,0.24547868967056274
20,0.5097113847732544,0.4914700984954834,41,0.25860264897346497
21,0.49769556522369385,0.4812035858631134,43,0.2691497504711151
22,0.48921898007392883,0.47489821910858154,45,0.2757318913936615
23,0.4849840998649597,0.47282078862190247,47,0.2779179513454437
24,0.4848616421222687,0.4745001196861267,49,0.2761501371860504
25,0.48808473348617554,0.478950172662735,51,0.27149295806884766
26,0.49349144101142883,0.48491916060447693,53,0.2653082311153412
27,0.4997779130935669,0.4911338686943054,55,0.2589447498321533
28,0.5057307481765747,0.49650904536247253,57,0.25350311398506165
29,0.5104103088378906,0.5002955198287964,59,0.24970456957817078
30,0.5132623910903931,0.5021500587463379,61,0.2478545606136322
31,0.5141453146934509,0.5021221041679382,63,0.2478823959827423
32,0.5132808089256287,0.5005745887756348,65,0.2494257390499115
33,0.5111477971076965,0.4980609714984894,67,0.25194281339645386
34,0.5083500146865845,0.4951929450035095,69,0.25483015179634094
35,0.5054876804351807,0.4925236403942108,71,0.2575322389602661
36,0.503055214881897,0.4904654622077942,73,0.2596254348754883
37,0.501379132270813,0.4892483055591583,75,0.26086732745170593
38,0.5005958080291748,0.48891696333885193,77,0.26120585203170776
39,0.5006664395332336,0.4893597960472107,79,0.26075342297554016
40,0.5014165043830872,0.49035680294036865,81,0.25973618030548096
41,0.5025911331176758,0.49163687229156494,83,0.258433073759079
42,0.503912091255188,0.4929322898387909,85,0.2571176290512085
43,0.5051287412643433,0.4940229058265686,87,0.25601282715797424
